From,To,Fastest Train Time
Leverkusen Mitte,Fürth hbf,3 h 57m
Fürth hbf,Leverkusen Mitte,3 h 57m
Leverkusen Mitte,Gelsenkirchen hbf,1 h 4m
Gelsenkirchen hbf,Leverkusen Mitte,1 h 4m
Leverkusen Mitte,Neunkirchen hbf,3 h 43m
Neunkirchen hbf,Leverkusen Mitte,3 h 43m
Leverkusen Mitte,Nürnberg hbf,3 h 43m
Nürnberg hbf,Leverkusen Mitte,3 h 43m
Leverkusen Mitte,Kaiserslautern hbf,2 h 48m
Kaiserslautern hbf,Leverkusen Mitte,2 h 48m
Leverkusen Mitte,Magdeburg hbf,4 h 41m
Magdeburg hbf,Leverkusen Mitte,4 h 41m
Leverkusen Mitte,Braunschweig hbf,3 h 55m
Braunschweig hbf,Leverkusen Mitte,3 h 55m
Leverkusen Mitte,Ulm hbf,3 h 14m
Ulm hbf,Leverkusen Mitte,3 h 14m
Leverkusen Mitte,Münster (Westf) hbf,1 h 34m
Münster (Westf) hbf,Leverkusen Mitte,1 h 34m
Leverkusen Mitte,Rostock hbf,6 h 46m
Rostock hbf,Leverkusen Mitte,6 h 46m
Leipzig hbf,Stuttgart hbf,4 h 37m
Stuttgart hbf,Leipzig hbf,4 h 37m
Leipzig hbf,Frankfurt hbf,2 h 56m
Frankfurt hbf,Leipzig hbf,2 h 56m
Leipzig hbf,Freiburg (Breisgau) hbf,5 h 10m
Freiburg (Breisgau) hbf,Leipzig hbf,5 h 10m
Leipzig hbf,Berlin hbf,1 h 13m
Berlin hbf,Leipzig hbf,1 h 13m
Leipzig hbf,Sinsheim (Elsenz) hbf,4 h 49m
Sinsheim (Elsenz) hbf,Leipzig hbf,4 h 49m
Leipzig hbf,Mainz hbf,3 h 42m
Mainz hbf,Leipzig hbf,3 h 42m
Leipzig hbf,Wolfsburg hbf,2 h 35m
Wolfsburg hbf,Leipzig hbf,2 h 35m
Leipzig hbf,Mönchengladbach hbf,5 h 9m
Mönchengladbach hbf,Leipzig hbf,5 h 9m
Leipzig hbf,Bremen hbf,4 h 7m
Bremen hbf,Leipzig hbf,4 h 7m
Leipzig hbf,Augsburg hbf,3 h 44m
Augsburg hbf,Leipzig hbf,3 h 44m
Leipzig hbf,Bochum hbf,4 h 58m
Bochum hbf,Leipzig hbf,4 h 58m
Leipzig hbf,Hamburg hbf,3 h 8m
Hamburg hbf,Leipzig hbf,3 h 8m
Leipzig hbf,Kiel hbf,4 h 41m
Kiel hbf,Leipzig hbf,4 h 41m
Leipzig hbf,Köln hbf,4 h 27m
Köln hbf,Leipzig hbf,4 h 27m
Leipzig hbf,Darmstadt hbf,3 h 23m
Darmstadt hbf,Leipzig hbf,3 h 23m
Leipzig hbf,Düsseldorf hbf,4 h 42m
Düsseldorf hbf,Leipzig hbf,4 h 42m
Leipzig hbf,Karlsruhe hbf,4 h 7m
Karlsruhe hbf,Leipzig hbf,4 h 7m
Leipzig hbf,Hannover hbf,2 h 41m
Hannover hbf,Leipzig hbf,2 h 41m
Leipzig hbf,Paderborn hbf,3 h 22m
