From,To,Fastest Train Time
Braunschweig hbf,Münster (Westf) hbf,2 h 33m
Münster (Westf) hbf,Braunschweig hbf,2 h 33m
Braunschweig hbf,Rostock hbf,4 h 8m
Rostock hbf,Braunschweig hbf,4 h 8m
Ulm hbf,Münster (Westf) hbf,4 h 49m
Münster (Westf) hbf,Ulm hbf,4 h 49m
Ulm hbf,Rostock hbf,8 h 9m
Rostock hbf,Ulm hbf,8 h 9m
Münster (Westf) hbf,Rostock hbf,4 h 53m
Rostock hbf,Münster (Westf) hbf,4 h 53m
München hbf,Aachen hbf,5 h 29m
Aachen hbf,München hbf,5 h 29m
München hbf,Bielefeld hbf,5 h 22m
Bielefeld hbf,München hbf,5 h 22m
München hbf,Dresden hbf,4 h 42m
Dresden hbf,München hbf,4 h 42m
München hbf,Cottbus hbf,5 h 59m
Cottbus hbf,München hbf,5 h 59m
München hbf,Aue (Sachs) Bahnhof,5 h 18m
Aue (Sachs) Bahnhof,München hbf,5 h 18m
München hbf,Ingolstadt hbf,34m
Ingolstadt hbf,München hbf,34m
München hbf,Osnabrück hbf,5 h 46m
Osnabrück hbf,München hbf,5 h 46m
München hbf,Essen hbf,5 h 15m
Essen hbf,München hbf,5 h 15m
München hbf,Saarbrücken hbf,4 h 15m
Saarbrücken hbf,München hbf,4 h 15m
München hbf,Heidelberg hbf,2 h 51m
Heidelberg hbf,München hbf,2 h 51m
München hbf,Gütersloh hbf,5 h 32m
Gütersloh hbf,München hbf,5 h 32m
München hbf,Mannheim hbf,2 h 44m
Mannheim hbf,München hbf,2 h 44m
München hbf,Wiesbaden hbf,4 h
Wiesbaden hbf,München hbf,4 h
Dortmund hbf,Aachen hbf,1 h 57m
Aachen hbf,Dortmund hbf,1 h 57m
Dortmund hbf,Bielefeld hbf,47m
Bielefeld hbf,Dortmund hbf,47m
Dortmund hbf,Dresden hbf,5 h 52m
Dresden hbf,Dortmund hbf,5 h 52m
Dortmund hbf,Cottbus hbf,5 h 8m
Cottbus hbf,Dortmund hbf,5 h 8m
Dortmund hbf,Aue (Sachs) Bahnhof,7 h 29m
Aue (Sachs) Bahnhof,Dortmund hbf,7 h 29m
Dortmund hbf,Ingolstadt hbf,5 h 11m
Ingolstadt hbf,Dortmund hbf,5 h 11m
Dortmund hbf,Osnabrück hbf,55m
Osnabrück hbf,Dortmund hbf,55m
Dortmund hbf,Essen hbf,30m
Essen hbf,Dortmund hbf,30m
Dortmund hbf,Saarbrücken hbf,4 h 23m
Saarbrücken hbf,Dortmund hbf,4 h 23m
Dortmund hbf,Heidelberg hbf,3 h 7m
Heidelberg hbf,Dortmund hbf,3 h 7m
Dortmund hbf,Gütersloh hbf,40m
Gütersloh hbf,Dortmund hbf,40m
Dortmund hbf,Mannheim hbf,2 h 47m
Mannheim hbf,Dortmund hbf,2 h 47m
Dortmund hbf,Wiesbaden hbf,2 h 50m
Wiesbaden hbf,Dortmund hbf,2 h 50m
Leverkusen Mitte,Aachen hbf,1 h 5m
Aachen hbf,Leverkusen Mitte,1 h 5m
Leverkusen Mitte,Bielefeld hbf,2 h 13m
Bielefeld hbf,Leverkusen Mitte,2 h 13m
Leverkusen Mitte,Dresden hbf,6 h 15m
Dresden hbf,Leverkusen Mitte,6 h 15m
Leverkusen Mitte,Cottbus hbf,6 h 42m
Cottbus hbf,Leverkusen Mitte,6 h 42m
Leverkusen Mitte,Aue (Sachs) Bahnhof,8 h 3m
Aue (Sachs) Bahnhof,Leverkusen Mitte,8 h 3m
Leverkusen Mitte,Ingolstadt hbf,4 h 18m
Ingolstadt hbf,Leverkusen Mitte,4 h 18m
Leverkusen Mitte,Osnabrück hbf,2 h 5m
Osnabrück hbf,Leverkusen Mitte,2 h 5m
Leverkusen Mitte,Essen hbf,45m
Essen hbf,Leverkusen Mitte,45m
Leverkusen Mitte,Saarbrücken hbf,3 h 36m
Saarbrücken hbf,Leverkusen Mitte,3 h 36m
Leverkusen Mitte,Heidelberg hbf,2 h 20m
Heidelberg hbf,Leverkusen Mitte,2 h 20m
Leverkusen Mitte,Gütersloh hbf,2 h 2m
Gütersloh hbf,Leverkusen Mitte,2 h 2m
Leverkusen Mitte,Mannheim hbf,1 h 44m
Mannheim hbf,Leverkusen Mitte,1 h 44m
Leverkusen Mitte,Wiesbaden hbf,1 h 53m
Wiesbaden hbf,Leverkusen Mitte,1 h 53m
Leipzig hbf,Aachen hbf,5 h 14m
Aachen hbf,Leipzig hbf,5 h 14m
Leipzig hbf,Bielefeld hbf,3 h 44m
Bielefeld hbf,Leipzig hbf,3 h 44m
Leipzig hbf,Dresden hbf,1 h 7m
Dresden hbf,Leipzig hbf,1 h 7m
Leipzig hbf,Cottbus hbf,1 h 43m
Cottbus hbf,Leipzig hbf,1 h 43m
Leipzig hbf,Aue (Sachs) Bahnhof,2 h 55m
Aue (Sachs) Bahnhof,Leipzig hbf,2 h 55m
Leipzig hbf,Ingolstadt hbf,2 h 41m
Ingolstadt hbf,Leipzig hbf,2 h 41m
Leipzig hbf,Osnabrück hbf,4 h 22m
Osnabrück hbf,Leipzig hbf,4 h 22m
Leipzig hbf,Essen hbf,5 h 3m
Essen hbf,Leipzig hbf,5 h 3m
Leipzig hbf,Saarbrücken hbf,5 h 26m
Saarbrücken hbf,Leipzig hbf,5 h 26m
Leipzig hbf,Heidelberg hbf,4 h 5m
Heidelberg hbf,Leipzig hbf,4 h 5m
Leipzig hbf,Gütersloh hbf,4 h 11m
Gütersloh hbf,Leipzig hbf,4 h 11m
Leipzig hbf,Mannheim hbf,3 h 39m
Mannheim hbf,Leipzig hbf,3 h 39m
Leipzig hbf,Wiesbaden hbf,3 h 39m
Wiesbaden hbf,Leipzig hbf,3 h 39m
Stuttgart hbf,Aachen hbf,3 h 27m
Aachen hbf,Stuttgart hbf,3 h 27m
Stuttgart hbf,Bielefeld hbf,4 h 35m
Bielefeld hbf,Stuttgart hbf,4 h 35m
Stuttgart hbf,Dresden hbf,5 h 47m
Dresden hbf,Stuttgart hbf,5 h 47m
Stuttgart hbf,Cottbus hbf,7 h 5m
Cottbus hbf,Stuttgart hbf,7 h 5m
Stuttgart hbf,Aue (Sachs) Bahnhof,6 h 26m
Aue (Sachs) Bahnhof,Stuttgart hbf,6 h 26m
Stuttgart hbf,Ingolstadt hbf,2 h 49m
Ingolstadt hbf,Stuttgart hbf,2 h 49m
Stuttgart hbf,Osnabrück hbf,4 h 37m
Osnabrück hbf,Stuttgart hbf,4 h 37m
Stuttgart hbf,Essen hbf,3 h 12m
Essen hbf,Stuttgart hbf,3 h 12m
Stuttgart hbf,Saarbrücken hbf,2 h 15m
Saarbrücken hbf,Stuttgart hbf,2 h 15m
Stuttgart hbf,Heidelberg hbf,51m
Heidelberg hbf,Stuttgart hbf,51m
Stuttgart hbf,Gütersloh hbf,4 h 56m
Gütersloh hbf,Stuttgart hbf,4 h 56m
Stuttgart hbf,Mannheim hbf,40m
Mannheim hbf,Stuttgart hbf,40m
Stuttgart hbf,Wiesbaden hbf,2 h 6m
Wiesbaden hbf,Stuttgart hbf,2 h 6m
Frankfurt hbf,Aachen hbf,1 h 49m
Aachen hbf,Frankfurt hbf,1 h 49m
Frankfurt hbf,Bielefeld hbf,2 h 59m
Bielefeld hbf,Frankfurt hbf,2 h 59m
Frankfurt hbf,Dresden hbf,4 h 12m
Dresden hbf,Frankfurt hbf,4 h 12m
Frankfurt hbf,Cottbus hbf,5 h 29m
Cottbus hbf,Frankfurt hbf,5 h 29m
Frankfurt hbf,Aue (Sachs) Bahnhof,5 h 55m
Aue (Sachs) Bahnhof,Frankfurt hbf,5 h 55m
Frankfurt hbf,Ingolstadt hbf,2 h 37m
Ingolstadt hbf,Frankfurt hbf,2 h 37m
Frankfurt hbf,Osnabrück hbf,3 h 29m
Osnabrück hbf,Frankfurt hbf,3 h 29m
Frankfurt hbf,Essen hbf,1 h 53m
Essen hbf,Frankfurt hbf,1 h 53m
Frankfurt hbf,Saarbrücken hbf,2 h 3m
Saarbrücken hbf,Frankfurt hbf,2 h 3m
Frankfurt hbf,Heidelberg hbf,50m
Heidelberg hbf,Frankfurt hbf,50m
Frankfurt hbf,Gütersloh hbf,3 h 18m
Gütersloh hbf,Frankfurt hbf,3 h 18m
Frankfurt hbf,Mannheim hbf,35m
Mannheim hbf,Frankfurt hbf,35m
Frankfurt hbf,Wiesbaden hbf,35m
Wiesbaden hbf,Frankfurt hbf,35m
Freiburg (Breisgau) hbf,Aachen hbf,4 h 11m
Aachen hbf,Freiburg (Breisgau) hbf,4 h 11m
Freiburg (Breisgau) hbf,Bielefeld hbf,5 h 31m
Bielefeld hbf,Freiburg (Breisgau) hbf,5 h 31m
Freiburg (Breisgau) hbf,Dresden hbf,6 h 42m
Dresden hbf,Freiburg (Breisgau) hbf,6 h 42m
Freiburg (Breisgau) hbf,Cottbus hbf,8 h
Cottbus hbf,Freiburg (Breisgau) hbf,8 h
Freiburg (Breisgau) hbf,Aue (Sachs) Bahnhof,8 h 35m
Aue (Sachs) Bahnhof,Freiburg (Breisgau) hbf,8 h 35m
Freiburg (Breisgau) hbf,Ingolstadt hbf,4 h 51m
Ingolstadt hbf,Freiburg (Breisgau) hbf,4 h 51m
Freiburg (Breisgau) hbf,Osnabrück hbf,5 h 25m
Osnabrück hbf,Freiburg (Breisgau) hbf,5 h 25m
Freiburg (Breisgau) hbf,Essen hbf,4 h 1m
Essen hbf,Freiburg (Breisgau) hbf,4 h 1m
Freiburg (Breisgau) hbf,Saarbrücken hbf,3 h 3m
Saarbrücken hbf,Freiburg (Breisgau) hbf,3 h 3m
Freiburg (Breisgau) hbf,Heidelberg hbf,1 h 47m
Heidelberg hbf,Freiburg (Breisgau) hbf,1 h 47m
Freiburg (Breisgau) hbf,Gütersloh hbf,5 h 19m
Gütersloh hbf,Freiburg (Breisgau) hbf,5 h 19m
Freiburg (Breisgau) hbf,Mannheim hbf,1 h 27m
Mannheim hbf,Freiburg (Breisgau) hbf,1 h 27m
Freiburg (Breisgau) hbf,Wiesbaden hbf,2 h 37m
Wiesbaden hbf,Freiburg (Breisgau) hbf,2 h 37m
Berlin hbf,Aachen hbf,5 h 19m
Aachen hbf,Berlin hbf,5 h 19m
Berlin hbf,Bielefeld hbf,2 h 40m
Bielefeld hbf,Berlin hbf,2 h 40m
Berlin hbf,Dresden hbf,1 h 55m
Dresden hbf,Berlin hbf,1 h 55m
Berlin hbf,Cottbus hbf,1 h 32m
Cottbus hbf,Berlin hbf,1 h 32m
Berlin hbf,Aue (Sachs) Bahnhof,4 h 22m
Aue (Sachs) Bahnhof,Berlin hbf,4 h 22m
Berlin hbf,Ingolstadt hbf,3 h 56m
Ingolstadt hbf,Berlin hbf,3 h 56m
Berlin hbf,Osnabrück hbf,2 h 55m
Osnabrück hbf,Berlin hbf,2 h 55m
Berlin hbf,Essen hbf,3 h 59m
Essen hbf,Berlin hbf,3 h 59m
Berlin hbf,Saarbrücken hbf,6 h 19m
Saarbrücken hbf,Berlin hbf,6 h 19m
Berlin hbf,Heidelberg hbf,5 h 14m
Heidelberg hbf,Berlin hbf,5 h 14m
Berlin hbf,Gütersloh hbf,2 h 55m
Gütersloh hbf,Berlin hbf,2 h 55m
Berlin hbf,Mannheim hbf,4 h 47m
Mannheim hbf,Berlin hbf,4 h 47m
Berlin hbf,Wiesbaden hbf,4 h 51m
Wiesbaden hbf,Berlin hbf,4 h 51m
Sinsheim (Elsenz) hbf,Aachen hbf,3 h 43m
Aachen hbf,Sinsheim (Elsenz) hbf,3 h 43m
Sinsheim (Elsenz) hbf,Bielefeld hbf,5 h 2m
Bielefeld hbf,Sinsheim (Elsenz) hbf,5 h 2m
Sinsheim (Elsenz) hbf,Dresden hbf,6 h 15m
Dresden hbf,Sinsheim (Elsenz) hbf,6 h 15m
Sinsheim (Elsenz) hbf,Cottbus hbf,7 h 31m
Cottbus hbf,Sinsheim (Elsenz) hbf,7 h 31m
Sinsheim (Elsenz) hbf,Aue (Sachs) Bahnhof,7 h 52m
Aue (Sachs) Bahnhof,Sinsheim (Elsenz) hbf,7 h 52m
Sinsheim (Elsenz) hbf,Ingolstadt hbf,4 h 22m
Ingolstadt hbf,Sinsheim (Elsenz) hbf,4 h 22m
Sinsheim (Elsenz) hbf,Osnabrück hbf,4 h 57m
Osnabrück hbf,Sinsheim (Elsenz) hbf,4 h 57m
Sinsheim (Elsenz) hbf,Essen hbf,3 h 38m
Essen hbf,Sinsheim (Elsenz) hbf,3 h 38m
Sinsheim (Elsenz) hbf,Saarbrücken hbf,2 h 42m
Saarbrücken hbf,Sinsheim (Elsenz) hbf,2 h 42m
Sinsheim (Elsenz) hbf,Heidelberg hbf,40m
Heidelberg hbf,Sinsheim (Elsenz) hbf,40m
Sinsheim (Elsenz) hbf,Gütersloh hbf,5 h 18m
Gütersloh hbf,Sinsheim (Elsenz) hbf,5 h 18m
Sinsheim (Elsenz) hbf,Mannheim hbf,1 h 2m
Mannheim hbf,Sinsheim (Elsenz) hbf,1 h 2m
Sinsheim (Elsenz) hbf,Wiesbaden hbf,2 h 7m
Wiesbaden hbf,Sinsheim (Elsenz) hbf,2 h 7m
Mainz hbf,Aachen hbf,2 h 6m
Aachen hbf,Mainz hbf,2 h 6m
Mainz hbf,Bielefeld hbf,3 h 16m
Bielefeld hbf,Mainz hbf,3 h 16m
Mainz hbf,Dresden hbf,4 h 55m
Dresden hbf,Mainz hbf,4 h 55m
Mainz hbf,Cottbus hbf,6 h 12m
Cottbus hbf,Mainz hbf,6 h 12m
Mainz hbf,Aue (Sachs) Bahnhof,6 h 44m
Aue (Sachs) Bahnhof,Mainz hbf,6 h 44m
Mainz hbf,Ingolstadt hbf,3 h 17m
Ingolstadt hbf,Mainz hbf,3 h 17m
Mainz hbf,Osnabrück hbf,3 h 38m
Osnabrück hbf,Mainz hbf,3 h 38m
Mainz hbf,Essen hbf,2 h 16m
Essen hbf,Mainz hbf,2 h 16m
Mainz hbf,Saarbrücken hbf,2 h 14m
Saarbrücken hbf,Mainz hbf,2 h 14m
Mainz hbf,Heidelberg hbf,51m
Heidelberg hbf,Mainz hbf,51m
Mainz hbf,Gütersloh hbf,3 h 35m
Gütersloh hbf,Mainz hbf,3 h 35m
Mainz hbf,Mannheim hbf,39m
Mannheim hbf,Mainz hbf,39m
Mainz hbf,Wiesbaden hbf,10m
Wiesbaden hbf,Mainz hbf,10m
Wolfsburg hbf,Aachen hbf,4 h 15m
Aachen hbf,Wolfsburg hbf,4 h 15m
Wolfsburg hbf,Bielefeld hbf,1 h 33m
Bielefeld hbf,Wolfsburg hbf,1 h 33m
Wolfsburg hbf,Dresden hbf,3 h 26m
Dresden hbf,Wolfsburg hbf,3 h 26m
Wolfsburg hbf,Cottbus hbf,2 h 50m
Cottbus hbf,Wolfsburg hbf,2 h 50m
Wolfsburg hbf,Aue (Sachs) Bahnhof,5 h 38m
Aue (Sachs) Bahnhof,Wolfsburg hbf,5 h 38m
Wolfsburg hbf,Ingolstadt hbf,4 h 12m
Ingolstadt hbf,Wolfsburg hbf,4 h 12m
Wolfsburg hbf,Osnabrück hbf,2 h 11m
Osnabrück hbf,Wolfsburg hbf,2 h 11m
Wolfsburg hbf,Essen hbf,2 h 48m
Essen hbf,Wolfsburg hbf,2 h 48m
Wolfsburg hbf,Saarbrücken hbf,5 h 21m
Saarbrücken hbf,Wolfsburg hbf,5 h 21m
Wolfsburg hbf,Heidelberg hbf,4 h 16m
Heidelberg hbf,Wolfsburg hbf,4 h 16m
Wolfsburg hbf,Gütersloh hbf,1 h 55m
Gütersloh hbf,Wolfsburg hbf,1 h 55m
Wolfsburg hbf,Mannheim hbf,3 h 49m
Mannheim hbf,Wolfsburg hbf,3 h 49m
Wolfsburg hbf,Wiesbaden hbf,3 h 50m
Wiesbaden hbf,Wolfsburg hbf,3 h 50m
Mönchengladbach hbf,Aachen hbf,46m
Aachen hbf,Mönchengladbach hbf,46m
Mönchengladbach hbf,Bielefeld hbf,2 h 5m
Bielefeld hbf,Mönchengladbach hbf,2 h 5m
Mönchengladbach hbf,Dresden hbf,6 h 53m
Dresden hbf,Mönchengladbach hbf,6 h 53m
Mönchengladbach hbf,Cottbus hbf,6 h 33m
Cottbus hbf,Mönchengladbach hbf,6 h 33m
Mönchengladbach hbf,Aue (Sachs) Bahnhof,8 h 31m
Aue (Sachs) Bahnhof,Mönchengladbach hbf,8 h 31m
Mönchengladbach hbf,Ingolstadt hbf,4 h 46m
Ingolstadt hbf,Mönchengladbach hbf,4 h 46m
Mönchengladbach hbf,Osnabrück hbf,2 h 23m
Osnabrück hbf,Mönchengladbach hbf,2 h 23m
Mönchengladbach hbf,Essen hbf,53m
Essen hbf,Mönchengladbach hbf,53m
Mönchengladbach hbf,Saarbrücken hbf,4 h 14m
Saarbrücken hbf,Mönchengladbach hbf,4 h 14m
Mönchengladbach hbf,Heidelberg hbf,2 h 58m
Heidelberg hbf,Mönchengladbach hbf,2 h 58m
Mönchengladbach hbf,Gütersloh hbf,1 h 54m
Gütersloh hbf,Mönchengladbach hbf,1 h 54m
Mönchengladbach hbf,Mannheim hbf,2 h 27m
Mannheim hbf,Mönchengladbach hbf,2 h 27m
Mönchengladbach hbf,Wiesbaden hbf,2 h 33m
Wiesbaden hbf,Mönchengladbach hbf,2 h 33m
Bremen hbf,Aachen hbf,4 h 14m
Aachen hbf,Bremen hbf,4 h 14m
Bremen hbf,Bielefeld hbf,1 h 58m
Bielefeld hbf,Bremen hbf,1 h 58m
Bremen hbf,Dresden hbf,5 h 12m
Dresden hbf,Bremen hbf,5 h 12m
Bremen hbf,Cottbus hbf,4 h 40m
Cottbus hbf,Bremen hbf,4 h 40m
Bremen hbf,Aue (Sachs) Bahnhof,7 h 7m
Aue (Sachs) Bahnhof,Bremen hbf,7 h 7m
Bremen hbf,Ingolstadt hbf,4 h 44m
Ingolstadt hbf,Bremen hbf,4 h 44m
Bremen hbf,Osnabrück hbf,50m
Osnabrück hbf,Bremen hbf,50m
Bremen hbf,Essen hbf,2 h 6m
Essen hbf,Bremen hbf,2 h 6m
Bremen hbf,Saarbrücken hbf,6 h 8m
Saarbrücken hbf,Bremen hbf,6 h 8m
Bremen hbf,Heidelberg hbf,4 h 54m
Heidelberg hbf,Bremen hbf,4 h 54m
Bremen hbf,Gütersloh hbf,2 h 15m
Gütersloh hbf,Bremen hbf,2 h 15m
Bremen hbf,Mannheim hbf,4 h 35m
Mannheim hbf,Bremen hbf,4 h 35m
Bremen hbf,Wiesbaden hbf,4 h 39m
Wiesbaden hbf,Bremen hbf,4 h 39m
Augsburg hbf,Aachen hbf,5 h 3m
Aachen hbf,Augsburg hbf,5 h 3m
Augsburg hbf,Bielefeld hbf,5 h 26m
Bielefeld hbf,Augsburg hbf,5 h 26m
Augsburg hbf,Dresden hbf,4 h 52m
Dresden hbf,Augsburg hbf,4 h 52m
Augsburg hbf,Cottbus hbf,6 h 29m
Cottbus hbf,Augsburg hbf,6 h 29m
Augsburg hbf,Aue (Sachs) Bahnhof,5 h 22m
Aue (Sachs) Bahnhof,Augsburg hbf,5 h 22m
Augsburg hbf,Ingolstadt hbf,1 h
Ingolstadt hbf,Augsburg hbf,1 h
Augsburg hbf,Osnabrück hbf,5 h 51m
Osnabrück hbf,Augsburg hbf,5 h 51m
Augsburg hbf,Essen hbf,4 h 48m
Essen hbf,Augsburg hbf,4 h 48m
Augsburg hbf,Saarbrücken hbf,3 h 42m
Saarbrücken hbf,Augsburg hbf,3 h 42m
Augsburg hbf,Heidelberg hbf,2 h 18m
Heidelberg hbf,Augsburg hbf,2 h 18m
Augsburg hbf,Gütersloh hbf,5 h 36m
Gütersloh hbf,Augsburg hbf,5 h 36m
Augsburg hbf,Mannheim hbf,2 h 11m
Mannheim hbf,Augsburg hbf,2 h 11m
Augsburg hbf,Wiesbaden hbf,3 h 27m
Wiesbaden hbf,Augsburg hbf,3 h 27m
Bochum hbf,Aachen hbf,2 h 6m
Aachen hbf,Bochum hbf,2 h 6m
Bochum hbf,Bielefeld hbf,1 h 20m
Bielefeld hbf,Bochum hbf,1 h 20m
Bochum hbf,Dresden hbf,6 h 24m
Dresden hbf,Bochum hbf,6 h 24m
Bochum hbf,Cottbus hbf,5 h 41m
Cottbus hbf,Bochum hbf,5 h 41m
Bochum hbf,Aue (Sachs) Bahnhof,8 h 2m
Aue (Sachs) Bahnhof,Bochum hbf,8 h 2m
Bochum hbf,Ingolstadt hbf,5 h 14m
Ingolstadt hbf,Bochum hbf,5 h 14m
Bochum hbf,Osnabrück hbf,1 h 37m
Osnabrück hbf,Bochum hbf,1 h 37m
Bochum hbf,Essen hbf,18m
Essen hbf,Bochum hbf,18m
Bochum hbf,Saarbrücken hbf,4 h 42m
Saarbrücken hbf,Bochum hbf,4 h 42m
Bochum hbf,Heidelberg hbf,3 h 26m
Heidelberg hbf,Bochum hbf,3 h 26m
Bochum hbf,Gütersloh hbf,1 h 22m
Gütersloh hbf,Bochum hbf,1 h 22m
Bochum hbf,Mannheim hbf,2 h 52m
Mannheim hbf,Bochum hbf,2 h 52m
Bochum hbf,Wiesbaden hbf,3 h 1m
Wiesbaden hbf,Bochum hbf,3 h 1m
Hamburg hbf,Aachen hbf,4 h 57m
Aachen hbf,Hamburg hbf,4 h 57m
Hamburg hbf,Bielefeld hbf,2 h 23m
Bielefeld hbf,Hamburg hbf,2 h 23m
Hamburg hbf,Dresden hbf,4 h 2m
Dresden hbf,Hamburg hbf,4 h 2m
Hamburg hbf,Cottbus hbf,3 h 46m
Cottbus hbf,Hamburg hbf,3 h 46m
Hamburg hbf,Aue (Sachs) Bahnhof,6 h 24m
Aue (Sachs) Bahnhof,Hamburg hbf,6 h 24m
Hamburg hbf,Ingolstadt hbf,4 h 57m
Ingolstadt hbf,Hamburg hbf,4 h 57m
Hamburg hbf,Osnabrück hbf,1 h 49m
Osnabrück hbf,Hamburg hbf,1 h 49m
Hamburg hbf,Essen hbf,2 h 48m
Essen hbf,Hamburg hbf,2 h 48m
Hamburg hbf,Saarbrücken hbf,5 h 52m
Saarbrücken hbf,Hamburg hbf,5 h 52m
Hamburg hbf,Heidelberg hbf,4 h 45m
Heidelberg hbf,Hamburg hbf,4 h 45m
Hamburg hbf,Gütersloh hbf,2 h 33m
Gütersloh hbf,Hamburg hbf,2 h 33m
Hamburg hbf,Mannheim hbf,4 h 20m
Mannheim hbf,Hamburg hbf,4 h 20m
Hamburg hbf,Wiesbaden hbf,4 h 30m
Wiesbaden hbf,Hamburg hbf,4 h 30m
Kiel hbf,Aachen hbf,6 h 4m
Aachen hbf,Kiel hbf,6 h 4m
Kiel hbf,Bielefeld hbf,3 h 49m
Bielefeld hbf,Kiel hbf,3 h 49m
Kiel hbf,Dresden hbf,5 h 43m
Dresden hbf,Kiel hbf,5 h 43m
Kiel hbf,Cottbus hbf,5 h 18m
Cottbus hbf,Kiel hbf,5 h 18m
Kiel hbf,Aue (Sachs) Bahnhof,7 h 53m
Aue (Sachs) Bahnhof,Kiel hbf,7 h 53m
Kiel hbf,Ingolstadt hbf,6 h 24m
Ingolstadt hbf,Kiel hbf,6 h 24m
Kiel hbf,Osnabrück hbf,2 h 58m
Osnabrück hbf,Kiel hbf,2 h 58m
Kiel hbf,Essen hbf,4 h 22m
Essen hbf,Kiel hbf,4 h 22m
Kiel hbf,Saarbrücken hbf,7 h 4m
Saarbrücken hbf,Kiel hbf,7 h 4m
Kiel hbf,Heidelberg hbf,6 h
Heidelberg hbf,Kiel hbf,6 h
Kiel hbf,Gütersloh hbf,3 h 59m
Gütersloh hbf,Kiel hbf,3 h 59m
Kiel hbf,Mannheim hbf,5 h 32m
Mannheim hbf,Kiel hbf,5 h 32m
Kiel hbf,Wiesbaden hbf,5 h 42m
Wiesbaden hbf,Kiel hbf,5 h 42m
Köln hbf,Aachen hbf,1 h
Aachen hbf,Köln hbf,1 h
Köln hbf,Bielefeld hbf,1 h 41m
Bielefeld hbf,Köln hbf,1 h 41m
Köln hbf,Dresden hbf,5 h 43m
Dresden hbf,Köln hbf,5 h 43m
Köln hbf,Cottbus hbf,6 h 10m
Cottbus hbf,Köln hbf,6 h 10m
Köln hbf,Aue (Sachs) Bahnhof,7 h 21m
Aue (Sachs) Bahnhof,Köln hbf,7 h 21m
Köln hbf,Ingolstadt hbf,3 h 58m
Ingolstadt hbf,Köln hbf,3 h 58m
Köln hbf,Osnabrück hbf,2 h 10m
Osnabrück hbf,Köln hbf,2 h 10m
Köln hbf,Essen hbf,47m
Essen hbf,Köln hbf,47m
Köln hbf,Saarbrücken hbf,3 h 4m
Saarbrücken hbf,Köln hbf,3 h 4m
Köln hbf,Heidelberg hbf,1 h 48m
Heidelberg hbf,Köln hbf,1 h 48m
Köln hbf,Gütersloh hbf,1 h 55m
Gütersloh hbf,Köln hbf,1 h 55m
Köln hbf,Mannheim hbf,1 h 28m
Mannheim hbf,Köln hbf,1 h 28m
Köln hbf,Wiesbaden hbf,1 h 23m
Wiesbaden hbf,Köln hbf,1 h 23m
Darmstadt hbf,Aachen hbf,2 h 29m
Aachen hbf,Darmstadt hbf,2 h 29m
Darmstadt hbf,Bielefeld hbf,3 h 46m
Bielefeld hbf,Darmstadt hbf,3 h 46m
Darmstadt hbf,Dresden hbf,4 h 46m
Dresden hbf,Darmstadt hbf,4 h 46m
Darmstadt hbf,Cottbus hbf,6 h 2m
Cottbus hbf,Darmstadt hbf,6 h 2m
Darmstadt hbf,Aue (Sachs) Bahnhof,6 h 23m
Aue (Sachs) Bahnhof,Darmstadt hbf,6 h 23m
Darmstadt hbf,Ingolstadt hbf,3 h 2m
Ingolstadt hbf,Darmstadt hbf,3 h 2m
Darmstadt hbf,Osnabrück hbf,3 h 57m
Osnabrück hbf,Darmstadt hbf,3 h 57m
Darmstadt hbf,Essen hbf,2 h 23m
Essen hbf,Darmstadt hbf,2 h 23m
Darmstadt hbf,Saarbrücken hbf,2 h 9m
Saarbrücken hbf,Darmstadt hbf,2 h 9m
Darmstadt hbf,Heidelberg hbf,34m
Heidelberg hbf,Darmstadt hbf,34m
Darmstadt hbf,Gütersloh hbf,4 h
Gütersloh hbf,Darmstadt hbf,4 h
Darmstadt hbf,Mannheim hbf,52m
Mannheim hbf,Darmstadt hbf,52m
Darmstadt hbf,Wiesbaden hbf,47m
Wiesbaden hbf,Darmstadt hbf,47m
Düsseldorf hbf,Aachen hbf,1 h 4m
Aachen hbf,Düsseldorf hbf,1 h 4m
Düsseldorf hbf,Bielefeld hbf,1 h 43m
Bielefeld hbf,Düsseldorf hbf,1 h 43m
Düsseldorf hbf,Dresden hbf,6 h 11m
Dresden hbf,Düsseldorf hbf,6 h 11m
Düsseldorf hbf,Cottbus hbf,6 h 4m
Cottbus hbf,Düsseldorf hbf,6 h 4m
Düsseldorf hbf,Aue (Sachs) Bahnhof,7 h 54m
Aue (Sachs) Bahnhof,Düsseldorf hbf,7 h 54m
Düsseldorf hbf,Ingolstadt hbf,4 h 10m
Ingolstadt hbf,Düsseldorf hbf,4 h 10m
Düsseldorf hbf,Osnabrück hbf,1 h 44m
Osnabrück hbf,Düsseldorf hbf,1 h 44m
Düsseldorf hbf,Essen hbf,24m
Essen hbf,Düsseldorf hbf,24m
Düsseldorf hbf,Saarbrücken hbf,3 h 33m
Saarbrücken hbf,Düsseldorf hbf,3 h 33m
Düsseldorf hbf,Heidelberg hbf,2 h 16m
Heidelberg hbf,Düsseldorf hbf,2 h 16m
Düsseldorf hbf,Gütersloh hbf,1 h 34m
Gütersloh hbf,Düsseldorf hbf,1 h 34m
Düsseldorf hbf,Mannheim hbf,1 h 46m
Mannheim hbf,Düsseldorf hbf,1 h 46m
Düsseldorf hbf,Wiesbaden hbf,1 h 55m
Wiesbaden hbf,Düsseldorf hbf,1 h 55m
